symbol,hgnc_id,num_unique_missense,num_unique_missense_vus
AP5Z1,HGNC:22197,156,132
IFT172,HGNC:30391,154,132
MED25,HGNC:28845,143,132
NEXN,HGNC:29557,151,132
ATP13A2,HGNC:30213,153,131
ATP2A1,HGNC:811,146,131
LRP5,HGNC:6697,174,131
PLCB1,HGNC:15917,144,131
RPGRIP1L,HGNC:29168,186,131
MORC2,HGNC:23573,145,130
PLCG2,HGNC:9066,167,130
INVS,HGNC:17870,149,129
EFHC1,HGNC:16406,164,128
SPATA5,HGNC:18119,163,128
ABCD1,HGNC:61,279,127
TRDN,HGNC:12261,163,127
ABCB4,HGNC:45,160,126
GAN,HGNC:4137,138,126
CARS2,HGNC:25695,145,125
CCDC40,HGNC:26090,179,125
CLN3,HGNC:2074,158,125
IL17RA,HGNC:5985,152,125
JPH2,HGNC:14202,143,125
ATP7A,HGNC:869,246,124
ITGB2,HGNC:6155,148,124
MECP2,HGNC:6990,387,124
CEP250,HGNC:1859,139,123
CPT2,HGNC:2330,207,123
GNE,HGNC:23657,183,123
MKS1,HGNC:7121,149,122
SIK1,HGNC:11142,185,122
ATR,HGNC:882,145,121
COL4A4,HGNC:2206,247,121
GARS1,HGNC:4162,162,120
TTC7A,HGNC:19750,154,120
ALDH5A1,HGNC:408,150,119
PEX6,HGNC:8859,179,119
FREM2,HGNC:25396,181,118
WHRN,HGNC:16361,156,118
CPS1,HGNC:2323,180,117
CR2,HGNC:2336,139,117
DOCK2,HGNC:2988,139,117
PNPLA6,HGNC:16268,145,117
PTPRC,HGNC:9666,130,116
SPINK5,HGNC:15464,157,116
SYNGAP1,HGNC:11497,257,116
TRAPPC11,HGNC:25751,135,116
ZEB2,HGNC:14881,295,116
FANCD2,HGNC:3585,145,115
CACNA2D4,HGNC:20202,135,113
CARD11,HGNC:16393,133,113
PRKAR1A,HGNC:9388,140,113
CHAT,HGNC:1912,148,112
KANSL1,HGNC:24565,312,112
ADSL,HGNC:291,139,111
KCNMA1,HGNC:6284,134,111
SDHAF2,HGNC:26034,122,111
SLC2A1,HGNC:11005,223,111
PDE6A,HGNC:8785,138,110
SLC13A5,HGNC:23089,125,110
SLC2A10,HGNC:13444,145,110
STIM1,HGNC:11386,123,110
ACTC1,HGNC:143,136,109
CACNB2,HGNC:1402,132,109
RAG1,HGNC:9831,161,109
SPOP,HGNC:11254,111,109
AIP,HGNC:358,124,108
COL11A2,HGNC:2187,165,108
FBXO38,HGNC:28844,121,108
KIF7,HGNC:30497,142,108
MUSK,HGNC:7525,132,108
CTNNA3,HGNC:2511,126,107
NIPBL,HGNC:28862,330,107
TMC6,HGNC:18021,128,107
WDR62,HGNC:24502,152,107
ANK3,HGNC:494,141,106
COL7A1,HGNC:2214,265,106
MFSD8,HGNC:28486,130,106
NLRP3,HGNC:16400,152,106
PIK3CA,HGNC:8975,144,106
SLC26A4,HGNC:8818,249,106
SMARCB1,HGNC:11103,132,106
ZNF423,HGNC:16762,117,106
COL2A1,HGNC:2200,267,105
LIG4,HGNC:6601,135,105
MYL2,HGNC:7583,134,105
PDZD7,HGNC:26257,127,105
TG,HGNC:11764,176,105
ERCC4,HGNC:3436,127,103
FGD4,HGNC:19125,126,103
NEFL,HGNC:7739,131,103
ACTA2,HGNC:130,125,102
ALG13,HGNC:30881,169,102
ALS2,HGNC:443,127,102
CACNA1F,HGNC:1393,129,102
CEP164,HGNC:29182,135,102
CRB1,HGNC:2343,179,102
EYA4,HGNC:3522,120,102
AP3B1,HGNC:566,117,101
CHRNB2,HGNC:1962,123,101
CLN6,HGNC:2077,138,101
CRPPA,HGNC:37276,127,101
IFIH1,HGNC:18873,167,101
NGLY1,HGNC:17646,130,101
SMPD1,HGNC:11120,222,101
ADAR,HGNC:225,128,100
MOGS,HGNC:24862,117,100
NDRG1,HGNC:7679,111,100
RETREG1,HGNC:25964,107,100
TXNRD2,HGNC:18155,118,100
VWF,HGNC:12726,171,100
ABRAXAS1,HGNC:25829,116,99
AIRE,HGNC:360,163,99
FLNB,HGNC:3755,152,99
IMPG2,HGNC:18362,118,99
NOTCH3,HGNC:7883,266,99
POMGNT2,HGNC:25902,114,99
SLC12A5,HGNC:13818,108,99
ARHGEF15,HGNC:15590,122,98
BRAF,HGNC:1097,228,98
DCLRE1C,HGNC:17642,118,98
FOXN1,HGNC:12765,124,98
KBTBD13,HGNC:37227,134,98
NPRL3,HGNC:14124,121,98
PALLD,HGNC:17068,128,98
CLN5,HGNC:2076,146,97
CTSD,HGNC:2529,112,97
EPM2A,HGNC:3413,114,97
EVC,HGNC:3497,162,97
PLEKHM2,HGNC:29131,110,97
RIMS1,HGNC:17282,113,97
TJP2,HGNC:11828,134,97
TTLL5,HGNC:19963,116,97
CLN8,HGNC:2079,125,96
CNTN2,HGNC:2172,110,96
DNAAF1,HGNC:30539,142,96
IDUA,HGNC:5391,188,96
LPIN2,HGNC:14450,114,96
OBSL1,HGNC:29092,140,96
PRF1,HGNC:9360,127,96
SGCA,HGNC:10805,165,96
PIGQ,HGNC:14135,112,95
PRDM8,HGNC:13993,100,95
SLC52A2,HGNC:30224,112,95
BSCL2,HGNC:15832,118,94
EVC2,HGNC:19747,165,94
GALT,HGNC:4135,300,94
JAK3,HGNC:6193,122,94
UBE3A,HGNC:12496,229,94
WDR19,HGNC:18340,127,94
KCNV2,HGNC:19698,113,93
NLRC4,HGNC:16412,110,93
PRICKLE2,HGNC:20340,100,93
PRRT2,HGNC:30500,155,93
TGFB3,HGNC:11769,108,93
ABCC8,HGNC:59,227,92
CHRNE,HGNC:1966,154,92
CREBBP,HGNC:2348,307,92
GATA4,HGNC:4173,108,92
QARS1,HGNC:9751,114,92
DNAAF2,HGNC:20188,121,91
DNAAF5,HGNC:26013,118,91
GLA,HGNC:4296,235,91
KLHL40,HGNC:30372,115,91
MC1R,HGNC:6929,128,91
CCDC78,HGNC:14153,109,90
CDHR1,HGNC:14550,116,90
CNGB3,HGNC:2153,142,90
IQSEC2,HGNC:29059,164,90
LARGE1,HGNC:6511,99,90
LMNB2,HGNC:6638,99,90
MERTK,HGNC:7027,118,90
P3H1,HGNC:19316,110,90
PNPLA2,HGNC:30802,113,90
AHI1,HGNC:21575,149,89
ARX,HGNC:18060,167,89
COL4A3,HGNC:2204,230,89
MPZ,HGNC:7225,185,89
SPAST,HGNC:11233,212,89
SPG7,HGNC:11237,140,89
ANKRD11,HGNC:21316,290,88
ATP1A3,HGNC:801,153,88
CSRP3,HGNC:2472,101,88
GPR179,HGNC:31371,128,88
MYLK2,HGNC:16243,106,88
NBEAL2,HGNC:31928,111,88
PREPL,HGNC:30228,107,88
SELENON,HGNC:15999,129,88
SOS2,HGNC:11188,121,88
VPS13A,HGNC:1908,141,88
ABCG8,HGNC:13887,110,87
CDK5RAP2,HGNC:18672,117,87
CDKL5,HGNC:11411,278,86
CNTN1,HGNC:2171,94,86
CYP27A1,HGNC:2605,131,86
GAMT,HGNC:4136,119,86
HCN1,HGNC:4845,129,86
MAP2K2,HGNC:6842,117,86
PYGM,HGNC:9726,165,86
SNTA1,HGNC:11167,103,86
BBS9,HGNC:30000,108,85
ABCA3,HGNC:33,115,84
ATP8B1,HGNC:3706,110,84
CARD9,HGNC:16391,95,84
CEP57,HGNC:30794,93,84
COL9A1,HGNC:2217,97,84
FANCG,HGNC:3588,103,84
KCNA5,HGNC:6224,107,84
MYL3,HGNC:7584,105,84
PTPN11,HGNC:9644,220,84
SLC19A3,HGNC:16266,119,84
TH,HGNC:11782,121,84
DHCR7,HGNC:2860,164,83
DNMT3B,HGNC:2979,98,83
DOLK,HGNC:23406,97,83
GLI3,HGNC:4319,162,83
GRM6,HGNC:4598,106,83
PNKD,HGNC:9153,108,83
SGCE,HGNC:10808,117,83
XDH,HGNC:12805,115,83
CSPP1,HGNC:26193,111,82
GCK,HGNC:4195,254,82
GJB1,HGNC:4283,199,82
HRAS,HGNC:5173,113,82
LZTR1,HGNC:6742,122,82
ADGRA3,HGNC:13839,93,81
CASQ2,HGNC:1513,109,81
HEXA,HGNC:4878,146,81
LRRK2,HGNC:18618,123,81
SPTA1,HGNC:11272,146,81
STXBP2,HGNC:11445,103,81
FANCE,HGNC:3586,95,80
FSCN2,HGNC:3960,90,80
GUCY2D,HGNC:4689,118,80
ROGDI,HGNC:29478,88,80
BBS10,HGNC:26291,160,79
MTMR2,HGNC:7450,102,79
MYH9,HGNC:7579,125,79
SAMD11,HGNC:28706,81,79
SLC52A3,HGNC:16187,98,79
SUN1,HGNC:18587,99,79
USH1C,HGNC:12597,105,79
COL11A1,HGNC:2186,114,78
LAMA3,HGNC:6483,156,78
LAMP2,HGNC:6501,123,78
MARS1,HGNC:6898,89,78
NEDD4L,HGNC:7728,111,78
NPHP1,HGNC:7905,98,78
RPGRIP1,HGNC:13436,115,78
SMAD6,HGNC:6772,88,78
SQSTM1,HGNC:11280,102,78
TNPO3,HGNC:17103,84,78
YARS1,HGNC:12840,90,78
ADAMTS18,HGNC:17110,94,77
CCDC39,HGNC:25244,127,77
CUL7,HGNC:21024,118,77
GDAP1,HGNC:15968,108,77
HSD17B4,HGNC:5213,121,77
INPP5E,HGNC:21474,100,77
LMOD3,HGNC:6649,107,77
BIN1,HGNC:1052,83,76
CCDC114,HGNC:26560,104,76
EGR2,HGNC:3239,94,76
LAMB3,HGNC:6490,145,76
MCPH1,HGNC:6954,117,76
MYO3A,HGNC:7601,118,76
PDE6B,HGNC:8786,121,76
RASA1,HGNC:9871,123,76
SLC24A1,HGNC:10975,89,76
ACADM,HGNC:89,160,75
ACADS,HGNC:90,122,75
BBS1,HGNC:966,118,75
BBS12,HGNC:26648,125,75
CHRND,HGNC:1965,93,75
NKX2-5,HGNC:2488,105,75
OTOG,HGNC:8516,170,75
PEX10,HGNC:8851,103,75
TRIP11,HGNC:12305,114,75
CDH3,HGNC:1762,87,74
CYP7B1,HGNC:2652,90,74
DUOX2,HGNC:13273,117,74
NFAT5,HGNC:7774,82,74
RP1L1,HGNC:15946,277,74
SLC6A1,HGNC:11042,131,74
SPRED1,HGNC:20249,118,74
SPTLC2,HGNC:11278,87,74
ABCG5,HGNC:13886,89,73
ARFGEF2,HGNC:15853,86,73
HARS1,HGNC:4816,90,73
IL12RB1,HGNC:5971,101,73
SNRNP200,HGNC:30859,87,73
TGFB2,HGNC:11768,104,73
ACVRL1,HGNC:175,192,72
DNAI1,HGNC:2954,105,72
GYS1,HGNC:4706,78,72
LTBP2,HGNC:6715,92,72
MCCC1,HGNC:6936,115,72
SGSH,HGNC:10818,135,72
AKT1,HGNC:391,74,71
DRC1,HGNC:24245,95,71
ERCC6,HGNC:3438,158,71
KNL1,HGNC:24054,110,71
NHLRC1,HGNC:21576,93,71
PCCB,HGNC:8654,133,71
PLCE1,HGNC:17175,93,71
SCARB2,HGNC:1665,87,71
SNX27,HGNC:20073,80,71
ARMC4,HGNC:25583,92,70
ATL3,HGNC:24526,76,70
BBS2,HGNC:967,105,70
CHRNA1,HGNC:1955,87,70
CLPB,HGNC:30664,88,70
CNGA3,HGNC:2150,117,70
COLQ,HGNC:2226,90,70
GLI2,HGNC:4318,140,70
HGSNAT,HGNC:26527,105,70
HNRNPU,HGNC:5048,116,70
IL17RC,HGNC:18358,89,70
KCNB1,HGNC:6231,152,70
LIAS,HGNC:16429,81,70
MYO6,HGNC:7605,105,70
PKD2,HGNC:9009,121,70
PROM1,HGNC:9454,108,70
RAB3GAP2,HGNC:17168,91,70
TOR1AIP1,HGNC:29456,80,70
ANKRD1,HGNC:15819,84,69
CENPJ,HGNC:17272,106,69
FRRS1L,HGNC:1362,80,69
GABRG2,HGNC:4087,103,69
GALC,HGNC:4115,158,69
MAN2B1,HGNC:6826,130,69
NAGLU,HGNC:7632,142,69
SGCG,HGNC:10809,96,69
SLC5A7,HGNC:14025,73,69
SMARCAL1,HGNC:11102,104,69
TCAP,HGNC:11610,82,69
TMPO,HGNC:11875,79,69
TRAPPC9,HGNC:30832,91,69
ADA2,HGNC:1839,88,68
CEP152,HGNC:29298,109,68
CSF3R,HGNC:2439,87,68
ELANE,HGNC:3309,111,68
PAH,HGNC:8582,296,68
RAPSN,HGNC:9863,94,68
RBCK1,HGNC:15864,74,68
SLC25A22,HGNC:19954,77,68
TICAM1,HGNC:18348,82,68
TPP2,HGNC:12016,74,68
DHX38,HGNC:17211,72,67
GABBR2,HGNC:4507,87,67
KCNJ10,HGNC:6256,81,67
RECQL,HGNC:9948,81,67
SGCB,HGNC:10806,93,67
SLC25A12,HGNC:10982,72,67
SPTBN2,HGNC:11276,131,67
TRIM2,HGNC:15974,68,67
TRNT1,HGNC:17341,86,67
TTC21B,HGNC:25660,93,67
ABCA12,HGNC:14637,106,66
B3GALNT2,HGNC:28596,77,66
COPA,HGNC:2230,77,66
CPA6,HGNC:17245,79,66
FYCO1,HGNC:14673,107,66
IL21R,HGNC:6006,74,66
KCNH5,HGNC:6254,73,66
KCNJ2,HGNC:6263,109,66
NEBL,HGNC:16932,92,66
PDE6C,HGNC:8787,79,66
PIK3AP1,HGNC:30034,79,66
SLC25A46,HGNC:25198,83,66
ALDH18A1,HGNC:9722,83,65
DYRK1A,HGNC:3091,163,65
FANCF,HGNC:3587,79,65
FARS2,HGNC:21062,92,65
GJB2,HGNC:4284,188,65
P3H2,HGNC:19317,69,65
PEX5,HGNC:9719,73,65
PIK3CD,HGNC:8977,78,65
PSTPIP1,HGNC:9580,91,65
SH3BP2,HGNC:10825,100,65
SP110,HGNC:5401,85,65
SPAG1,HGNC:11212,88,65
STXBP1,HGNC:11444,187,65
TBX1,HGNC:11592,94,65
ABAT,HGNC:23,75,64
BEST1,HGNC:12703,129,64
CP,HGNC:2295,88,64
GNPTG,HGNC:23026,82,64
HSPB1,HGNC:5246,94,64
IFT80,HGNC:29262,78,64
IRF7,HGNC:6122,67,64
ITGB4,HGNC:6158,95,64
LGI1,HGNC:6572,76,64
MCCC2,HGNC:6937,92,64
MEGF8,HGNC:3233,86,64
SPTLC1,HGNC:11277,81,64
SYN1,HGNC:11494,78,64
TECPR2,HGNC:19957,90,64
TMC8,HGNC:20474,79,64
WDPCP,HGNC:28027,80,64
ADAM17,HGNC:195,73,63
CHRNB1,HGNC:1961,77,63
DNAI2,HGNC:18744,89,63
DTNA,HGNC:3057,76,63
GNPTAB,HGNC:29670,128,63
ITK,HGNC:6171,67,63
KPNA7,HGNC:21839,72,63
MMUT,HGNC:7526,182,63
RFX5,HGNC:9986,70,63
SGCD,HGNC:10807,77,63
SLC27A5,HGNC:10999,75,63
TCF4,HGNC:11634,157,63
VRK1,HGNC:12718,73,63
ARHGEF18,HGNC:17090,76,62
ARSA,HGNC:713,173,62
GCDH,HGNC:4189,162,62
GLRA1,HGNC:4326,91,62
MAP3K14,HGNC:6853,72,62
PRKG1,HGNC:9414,71,62
AGBL5,HGNC:26147,67,61
ALPL,HGNC:438,145,61
FERMT3,HGNC:23151,74,61
FHL1,HGNC:3702,84,61
IFT122,HGNC:13556,76,61
IMPG1,HGNC:6055,64,61
KCNC1,HGNC:6233,75,61
NR2E3,HGNC:7974,90,61
PPT1,HGNC:9325,97,61
SCN1B,HGNC:10586,76,61
SEMA3E,HGNC:10727,69,61
SLC25A13,HGNC:10983,79,61
TOPORS,HGNC:21653,81,61
AMT,HGNC:473,96,60
GATM,HGNC:4175,68,60
IFNGR1,HGNC:5439,72,60
ITPR1,HGNC:6180,97,60
LRIT3,HGNC:24783,74,60
MYOT,HGNC:12399,80,60
PDLIM3,HGNC:20767,69,60
PITPNM3,HGNC:21043,79,60
PRKCD,HGNC:9399,65,60
RAI1,HGNC:9834,149,60
ACE,HGNC:2707,86,59
ARID1B,HGNC:18040,251,59
CAV3,HGNC:1529,81,59
GABRA1,HGNC:4075,98,59
LRPPRC,HGNC:15714,116,59
MAX,HGNC:6913,71,59
MMACHC,HGNC:24525,115,59
SLC29A3,HGNC:23096,80,59
AP4B1,HGNC:572,76,58
CASP10,HGNC:1500,73,58
